case_id	slide_id	ACVR2A_mutation	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	fold_10	fold_11	fold_12	fold_13	fold_14	fold_15	fold_16	fold_17	fold_18	fold_19	fold_20	fold_21	fold_22	fold_23	fold_24	fold_25	fold_26	fold_27	fold_28	fold_29	fold_30	fold_31	fold_32	fold_33	fold_34	fold_35	fold_36	fold_37	fold_38	fold_39	fold_40	fold_41	fold_42	fold_43	fold_44	fold_45	fold_46	fold_47	fold_48	fold_49
01CO014	01CO014-be2d5946-3452-4003-880a-e0372e	1	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	test	train	test	train	test	test	train	train	train	test	train	test	train	test	test	train	test	train	train	train	test	train	train	train	train	train	train	train	train	train	test
11CO039	11CO039-e295a7d1-a0d0-4b0b-bdc2-729a0d	0	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	test	train	test	train	train	train	train	test	test	train	train	train	train	train	train	train	test
11CO039	11CO039-d6584b4a-ca99-4a2a-8b4e-c8b22e	0	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	test	train	test	train	train	train	train	test	test	train	train	train	train	train	train	train	test
11CO031	11CO031-c6ae57a7-65a0-438e-bae2-97b1c8	1	train	train	train	train	train	train	train	test	test	train	train	test	train	train	test	train	test	test	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	train	train	test	train	test	test
05CO053	05CO053-66b829db-1cdd-460d-b2f3-0e9ca9	0	train	train	train	train	train	train	train	test	test	train	test	test	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train
11CO052	11CO052-0630ecb0-b664-4e75-bb3c-fb62ee	0	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train
22CO006	22CO006-4d86cf19-8d5b-46b5-ab4c-ace0b2	0	train	train	train	train	train	train	test	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	test	train	train	train	train	train	train	test	test	train	train	test	train	train	train	train	train	train	test
11CO053	11CO053-ecf1ca92-c8b7-470f-baf4-81cf73	0	train	train	train	train	train	train	test	train	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	test	train	train	train	train	test	test	train	train	train	train	train	test	train	train	train	train	test
05CO006	05CO006-a8955d38-7a72-4f9d-9c70-5c0f08	1	train	train	train	train	train	train	test	train	test	train	train	train	train	test	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	test	train	test	train	train	train	train	test	train	train	train	test	train	train	test	train	train	train	train	test	train
11CO010	11CO010-0f757044-9bc8-4ed4-90f3-e0a49a	0	train	train	train	train	train	train	test	train	test	train	test	test	train	train	train	test	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train
11CO027	11CO027-5da00abd-5fa7-4deb-95f1-7982e0	0	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	test	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train
14CO005	14CO005-db3f5ad9-d14d-4126-a3e7-d80faa	0	train	train	train	train	train	test	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	test	train	train	train	train	test	train	train	train	train	test	train	train	test	train	train	train	train
15CO001	15CO001-c2db7236-990c-42b6-9ffb-2ad150	0	train	train	train	train	train	test	train	train	train	train	test	train	train	train	train	test	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	train	train
05CO044	05CO044-8af80ae9-2088-4124-91fb-8d6c17	1	train	train	train	train	train	test	train	train	test	train	train	test	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train
09CO008	09CO008-aa0f5b40-3290-4255-8f4d-f45d4e	0	train	train	train	train	train	test	train	test	test	train	train	train	train	test	train	train	train	train	train	train	train	test	train	test	test	train	train	train	test	train	test	train	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train
11CO045	11CO045-f4bccfe4-98d0-466b-a6d7-44341b	0	train	train	train	train	train	test	test	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train
11CO062	11CO062-e8faa3a7-9fc7-428e-9334-a0afd0	0	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	test	train	train	train	test	train	train	test	train	test	train	train	train	train	train	train	train	train	train	test	train	test	train	train
09CO005	09CO005-ec9afcc4-ccf7-4226-b0e8-d6897d	0	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	test	train	train	test	train	test	train	train	test	train	test	train	train	train	test	train	train	test	train	test	train	test	train	train	train	train	test	train	train	test	test	train	train	train	train
01CO008	01CO008-9452572f-e3ec-4063-a82e-43ac90	0	train	train	train	train	test	train	train	test	train	train	train	test	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train
05CO028	05CO028-e0068ac5-f557-443a-bd4b-bdfcef	1	train	train	train	train	test	train	train	test	train	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	test	test	train	train	train	train	train	test	test	test	train	train	train	train	train	train	train
11CO043	11CO043-591fb460-703a-437d-8d9a-ff2a35	0	train	train	train	train	test	train	test	train	train	train	train	train	train	train	test	train	train	train	test	test	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train
05CO041	05CO041-b4dd4a04-5eda-43dd-8298-215b07	1	train	train	train	train	test	train	test	train	train	train	test	train	train	train	train	train	test	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train
05CO045	05CO045-92c1ebb5-ac1d-4bf5-a14f-516e1d	0	train	train	train	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	test	test	train	train	train	train	train
11CO019	11CO019-722378ea-d1a7-4cfc-aca5-ba45f9	0	train	train	train	train	test	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	test	train	train	test	train	test	train	train	test	train	test	train	train	train	train	train	test	train
11CO018	11CO018-3d797911-d476-436f-9cce-33e20c	1	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train
11CO005	11CO005-bc574f73-89ba-44d7-992e-82622c	0	train	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	test	train	train	test	train	train	train	train	test	train	test	train	train	test	test	train	train	train	test	train	train	train	train	train	test	train	train	train	train	train	train	train	train
05CO049	05CO049-d7608884-a0d6-4e9e-aac7-6cd813	0	train	train	train	test	train	train	train	train	train	train	train	train	test	train	test	train	train	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	test	train	train	train	train	train	train	test	train	train	train	train
05CO032	05CO032-695b0b00-a86b-43c0-a6c8-50a840	1	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train
05CO003	05CO003-7cc7f69f-99f5-4b23-a9e0-ba0dc8	0	train	train	train	test	train	train	train	train	train	test	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	test	test	train	train	train	train	test	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train
20CO001	20CO001-d8345fa1-f692-4025-bc82-bfaec6	0	train	train	train	test	train	train	train	test	train	train	train	train	train	test	train	train	train	train	test	train	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	train
09CO015	09CO015-d068de5f-8394-46bc-b03a-c6dc9c	0	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	test	train	test	train	test	train	train	train	train	train	train	train	test	train	train	train	test	train	test	train	train
11CO036	11CO036-21cab01c-e968-42cc-9651-1e53c0	1	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	test	test	train	test	train	train	test	train
09CO019	09CO019-b913f361-c5c2-4e49-91ca-719bd8	0	train	train	train	test	test	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	train	test	train	train	train	train
01CO013	01CO013-c7aeb685-31b3-445e-8177-a3e729	0	train	train	train	test	test	train	train	test	train	train	test	train	train	train	train	train	test	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	test	train	train	test	train	train	train
09CO022	09CO022-f69deaeb-6b6f-4c61-8900-fd0f26	0	train	train	test	train	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	test	train	test	train	train	train	test	test	train	train	train	train	train	train	train	test	train	train	test	train	train	test	train	test	train	train	train	train	train
11CO030	11CO030-4cdeecb5-19fb-493c-91f5-eb0efc	0	train	train	test	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	test	train	train	train	train	test	test	train	train	train	train	test	test	test	train
05CO002	05CO002-159c49fd-40ff-4616-b6b6-be21a6	0	train	train	test	train	train	test	train	test	train	train	train	train	train	train	train	train	train	test	train	test	test	train	train	train	train	test	train	train	train	test	test	train	train	train	train	train	train	train	train	test	train	train	train	test	test	train	train	train	train	train
05CO015	05CO015-0aef1fe8-ca61-4113-81d0-d82ee7	1	train	train	test	train	test	train	train	train	train	train	train	train	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	test	train	train	train	train	test	train	train
05CO015	05CO015-416bb805-e4cd-4ca6-8fdd-1eec2d	1	train	train	test	train	test	train	train	train	train	train	train	train	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	test	train	train	train	train	test	train	train
01CO019	01CO019-573048dd-2502-40e0-8e8c-c41bb8	0	train	train	test	train	test	train	train	train	test	train	train	test	train	train	test	test	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	test	test	train	train
05CO047	05CO047-506131e8-6460-472f-9e25-71f8b1	0	train	train	test	train	test	train	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	test	train	test	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	test	train	train	train
05CO047	05CO047-01bf1906-9bdc-41c3-89a0-b89ef6	0	train	train	test	train	test	train	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	test	train	test	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	test	train	train	train
20CO003	20CO003-2d266d2d-4bb3-436c-a3e7-06acb2	1	train	train	test	train	test	train	test	train	train	train	train	train	train	train	train	test	train	train	train	train	test	train	test	train	train	test	test	train	train	train	test	train	train	train	test	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train
16CO006	16CO006-97423edb-6f19-4b41-a7cb-af1635	0	train	train	test	train	test	test	train	train	train	train	train	train	test	test	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	test	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train
11CO047	11CO047-3ca0ab23-70ae-4083-bd7d-9f71d8	0	train	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	test	test	test	train	test	train	train	train	train	train	train
01CO006	01CO006-f9d6fb1b-988e-4d28-9272-cc672f	0	train	train	test	test	train	train	train	train	train	test	train	train	train	train	test	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	test	train	test	train	test	train	train	train	train	train
11CO033	11CO033-8960a27e-69d8-4ec8-a795-c6cf8a	0	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	test	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	test
05CO048	05CO048-4976cbf9-cad4-48ce-b234-622c70	1	train	test	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train	train	test	train	train	test	train	train	test	train	train	train	train	train	train	train	train	test	train	train	train	train	train	test	train	train	train	train	test	train	train	train	train	train
01CO005	01CO005-59891744-2db3-4541-a86a-7f911f	0	train	test	train	train	train	train	train	train	train	test	test	train	train	train	test	train	train	train	train	test	train	train	test	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	test	train
05CO034	05CO034-42216d99-e8ff-43c9-b6db-28c3a6	0	train	test	train	train	train	train	train	test	test	train	test	train	train	train	train	train	train	test	train	train	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train
16CO002	16CO002-6f5853a3-1d47-4a54-94dc-970c1c	0	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	test	test	train	train	train	test	train	train	train	train	train	train	test	test	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	test	train	train
16CO011	16CO011-7782134d-02db-44ee-adfa-fc1372	0	train	test	train	train	train	train	test	train	train	train	train	train	test	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	test
16CO003	16CO003-47b9deba-dea0-4e0c-8b0a-4864c3	0	train	test	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	train	train	train	test
11CO021	11CO021-cf795cd2-317b-4897-a35e-390001	0	train	test	train	train	test	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	test	test	test
11CO007	11CO007-799893aa-d523-4a08-9ea7-611cca	1	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	test	train	train	train	train	test	test	train	train	train	test	train	test	train	train	train	test	train	train	train	train	train	test	train	test	train	train	train	train	train
27CO004	27CO004-d0511ea6-43c3-4c61-b08e-cf49b7	0	train	test	train	test	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	test	train	train	test	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	test	train
09CO011	09CO011-1425a1a1-c835-47a2-a9b9-4db5d0	0	train	test	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	test	train	test	train	train
05CO050	05CO050-17cd2121-d347-431c-9cc7-fbab14	1	train	test	test	train	train	test	train	train	train	test	train	train	test	train	train	train	test	test	train	test	train	test	train	train	train	train	train	test	test	train	train	test	train	train	train	train	test	test	test	train	train	train	train	train	train	train	test	train	train	train
11CO020	11CO020-52d61ab1-5781-4b47-8e88-37c2ea	0	train	test	test	test	train	train	train	test	test	test	test	train	train	test	train	train	test	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train
05CO054	05CO054-43192517-085e-450e-9481-0a6713	0	test	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	test	train	train	train	train	train	train	train	train	train	train	test	test	train	train	test	train	test	test	train	train	train	train	test	train	train	test	test	train	train	train	train	train	train
11CO022	11CO022-21c6f56a-8881-421b-81fa-c354cb	0	test	train	train	train	train	train	train	train	train	test	train	test	train	test	train	test	test	test	train	train	test	test	train	train	train	train	train	test	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	test	train	train	train	train	test	train
05CO037	05CO037-5a007558-764c-463b-a788-fdbccb	1	test	train	train	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	test	test	train	train	test	test	test	train	train	train	train	train	test	train	test	train	test
21CO006	21CO006-5f823547-ee16-45b7-a6a0-ef25d6	0	test	train	train	train	train	train	test	train	train	train	train	test	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	test	train	train	train	test	train	train	test	train	train	test	train	test	test
09CO013	09CO013-dffcac99-9eac-4717-aeb6-f4a2e7	0	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	test	train	test	test	train	train	test	train	train	train	train
06CO001	06CO001-87408d9e-4029-4e8f-b14c-8efc04	0	test	train	train	train	train	test	train	train	test	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	test	train	train	test	train	train	train	train	train	train	test	train	train
11CO048	11CO048-43e0432b-343d-4e12-817f-21281c	1	test	train	train	train	train	test	test	train	test	train	train	train	train	train	train	test	train	train	train	test	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	train	train	train
11CO008	11CO008-98742d96-cc2f-43f0-9de2-bc7afe	0	test	train	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	test	train	train	train	train	train	train	train	test	train	train	test	train	train	train	test	train	train	train	train
11CO008	11CO008-de439530-464e-481b-91ab-0685b9	0	test	train	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	test	train	test	train	train	train	train	train	train	train	test	train	train	test	train	train	train	test	train	train	train	train
15CO002	15CO002-74f7759a-279c-4098-b080-358900	0	test	train	train	train	test	train	train	train	test	train	train	train	test	train	train	train	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test
21CO007	21CO007-a467b905-fc0b-427b-8753-6d38dd	0	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	test	train	train	train	train	test	train	test	train	train	train	test	train	train	test	train	train	test	train	train	train	train	train	train	train	train	test
01CO022	01CO022-7a0266b4-b07c-41dc-8ddd-350e1b	1	test	train	test	train	train	train	train	train	train	test	train	train	test	train	train	train	train	test	train	test	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	test	train	train	train	test	train	train	test	train	train	train	test	train
11CO044	11CO044-7e3d5ae0-3dcc-4207-8dd2-59ab4b	0	test	train	test	train	train	train	train	train	test	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	test	train	test	train	train	train
05CO029	05CO029-58a92726-4d1f-4e44-8938-52b97d	0	test	train	test	test	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	test	train	train	train	train	train	train	train	test
11CO051	11CO051-f2a13f8d-b129-4567-beae-049b15	1	test	test	train	train	train	train	train	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	test	test	train	train	train	train	train	train	train	test	test	test	train	train	train	train	train	test	train	train
09CO006	09CO006-c2c53076-b5db-4b7d-983c-a35740	0	test	test	train	train	train	train	train	train	train	test	train	train	train	train	train	train	test	train	train	train	train	train	train	train	test	train	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train	train
11CO054	11CO054-f6a7f764-2495-4a1d-89a2-e12f51	0	test	test	train	train	train	test	test	train	train	train	train	train	train	train	train	train	train	train	train	test	train	train	test	train	test	train	train	train	train	test	train	train	train	train	train	train	train	train	train	train	train	train	train	test	train	test	train	train	test	train
05CO011	05CO011-8495cc54-eb88-40ab-b03f-363edf	0	test	test	train	test	train	train	test	train	train	test	train	test	train	train	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	train	train	train	train	test	train	train	test	train	train	train	train	test	test	train	train	train	train	test	test
11CO061	11CO061-8c73f3a5-fea8-4942-90c0-966f66	0	test	test	test	test	train	test	train	train	train	train	test	train	test	train	train	train	test	test	train	train	train	train	train	train	train	test	test	train	test	train	train	train	train	train	train	train	test	test	test	train	train	test	test	train	train	train	train	train	train	train
